minutes
540
580
450
450
570
495
290
480
930
520
210
500
650
480
615
720
450
420
300
405
680
467
540
520
160
528
720
510
150
420
470
480
510
450
1108
600
427
300
555
610
510
545
860
530
495
500
570
450
195
480
755
540
600
467
495
670
540
600
553
460
480
450
585
420
540
165
480
550
540
520
387
470
750
599
495
400
570
600
600
385
390
365
480
330
571
400
1005
600
480
570
395
515
536
360
819
465
630
490
540
210
660
570
660
540
450
560
360
706
440
585
750
960
690
615
600
510
420
580
420
510
510
390
490
480
450
590
520
555
660
615
555
420
600
600
390
450
455
420
309
570
480
465
390
570
500
810
530
450
360
690
450
480
510
585
510
520
470
465
725
623
358
480
480
240
520
578
420
480
690
485
660
745
660
760
750
255
810
435
575
780
390
540
645
600
360
715
390
540
600
360
720
540
590
420
660
510
636
600
510
615
895
420
420
510
740
540
570
720
495
630
570
660
523
355
450
450
525
445
273
450
810
720
495
434
480
540
330
690
660
540
450
600
520
784
430
660
650
450
710
385
420
450
510
495
630
445
585
420
480
690
465
620
300
495
660
420
660
505
630
523
540
480
450
360
600
440
460
645
570
705
510
600
465
780
460
930
540
465
680
600
450
480
450
570
632
525
420
600
557
510
420
450
440
599
770
185
630
480
730
390
370
448
364
450
440
570
735
580
540
525
390
435
740
540
600
435
180
510
360
238
600
705
430
480
566
585
475
420
540
570
600
540
810
330
500
433
809
489
600
340
360
478
770
520
450
415
435
555
690
510
560
420
550
390
720
600
600
380
540
540
473
300
480
345
660
600
420
450
375
570
180
690
480
600
720
360
525
590
450
330
479
475
525
450
480
625
545
439
380
510
603
540
440
541
657
650
600
120
660
283
570
660
670
525
630
375
620
435
450
600
330
600
460
465
510
625
470
585
686
660
360
540
600
570
530
690
525
730
742
445
510
600
840
600
450
510
360
300
585
623
540
690
480
820
465
480
570
580
809
440
675
400
450
420
570
585
600
570
550
480
570
540
600
600
495
560
480
465
470
450
465
548
430
380
300
660
366
490
420
620
390
330
553
738
400
665
570
480
410
480
325
550
480
300
450
765
474
449
420
415
630
540
565
490
545
560
599
420
420
715
510
525
237
480
840
577
660
495
390
570
410
480
390
510
450
450
600
630
510
600
720
510
467
600
720
390
570
510
540
470
600
630
558
540
419
705
450
488
565
605
615
600
810
645
810
510
420
510
480
450
450
540
555
480
660
540
600
495
564
658
610
665
630
830
630
540
963
465
780
600
510
420
540
427
480
525
314
555
489
538
307
520
690
445
660
630
630
540
385
630
690
310
505
480
608
615
710
600
540
660
245
660
636
400
455
177
630
480
540
475
540
510
390
595
495
470
540
525
570
730
720
240
988
720
555
665
470
570
340
420
510
510
660
489
656
520
570
540
510
360
345
720
705
600
120
570
390
480
570
540
630
690
495
390
350
540
415
605
630
270
510
500
450
660
360
360
230
510
270
465
420
406
570
600
520
480
450
430
510
360
450
660
660
300
480
450
660
420
540
420
645
675
330
430
453
600
450
360
890
442
480
720
495
720
510
480
580
510
810
630
600
570
450
645
480
480
600
585
540
375
340
480
720
660
250
600
450
450
700
500
300
400
580
370
540
660
344
465
540
720
525
611
315
605
510
598
725
300
420
435
570
480
510
540
470
510
377
645
480
570
540
690
580
540
540
465
540
630
770
420
93
905
526
495
630
441
625
345
562
510
585
626
690
465
495
570
600
502
694
760
580
600
270
330
570
510
720
440
540
570
690
550
635
540
480
470
450
480
660
490
450
570
600
598
330
510
570
450
510
630
720
510
300
460
421
560
610
480
360
610
510
750
510
425
630
360
450
450
495
585
660
480
570
600
318
390
480
460
820
545
510
210
460
540
450
510
480
570
599
570
487
390
645
260
540
462
485
642
570
830
510
630
450
540
605
600
405
660
430
540
480
560
525
570
615
450
600
600
690
480
570
595
445
580
600
390
645
675
510
461
630
410
525
685
600
395
180
630
331
570
435
600
540
530
555
480
360
750
660
540
538
540
