Date,ISO,population
1957-01-01 00:00:00,CAN,
1958-01-01 00:00:00,CAN,
1959-01-01 00:00:00,CAN,
1960-01-01 00:00:00,CAN,17.91
1961-01-01 00:00:00,CAN,18.27
1962-01-01 00:00:00,CAN,18.61
1963-01-01 00:00:00,CAN,18.96
1964-01-01 00:00:00,CAN,19.33
1965-01-01 00:00:00,CAN,19.68
1966-01-01 00:00:00,CAN,20.05
1967-01-01 00:00:00,CAN,20.41
1968-01-01 00:00:00,CAN,20.73
1969-01-01 00:00:00,CAN,21.03
1970-01-01 00:00:00,CAN,21.32
1971-01-01 00:00:00,CAN,21.96
1972-01-01 00:00:00,CAN,22.22
1973-01-01 00:00:00,CAN,22.49
1974-01-01 00:00:00,CAN,22.81
1975-01-01 00:00:00,CAN,23.14
1976-01-01 00:00:00,CAN,23.45
1977-01-01 00:00:00,CAN,23.73
1978-01-01 00:00:00,CAN,23.96
1979-01-01 00:00:00,CAN,24.2
1980-01-01 00:00:00,CAN,24.52
1981-01-01 00:00:00,CAN,24.82
1982-01-01 00:00:00,CAN,25.12
1983-01-01 00:00:00,CAN,25.37
1984-01-01 00:00:00,CAN,25.61
1985-01-01 00:00:00,CAN,25.84
1986-01-01 00:00:00,CAN,26.1
1987-01-01 00:00:00,CAN,26.45
1988-01-01 00:00:00,CAN,26.79
1989-01-01 00:00:00,CAN,27.28
1990-01-01 00:00:00,CAN,27.69
1991-01-01 00:00:00,CAN,28.04
1992-01-01 00:00:00,CAN,28.37
1993-01-01 00:00:00,CAN,28.68
1994-01-01 00:00:00,CAN,29.0
1995-01-01 00:00:00,CAN,29.3
1996-01-01 00:00:00,CAN,29.61
1997-01-01 00:00:00,CAN,29.91
1998-01-01 00:00:00,CAN,30.16
1999-01-01 00:00:00,CAN,30.4
2000-01-01 00:00:00,CAN,30.69
2001-01-01 00:00:00,CAN,31.02
2002-01-01 00:00:00,CAN,31.35
2003-01-01 00:00:00,CAN,31.64
2004-01-01 00:00:00,CAN,31.94
2005-01-01 00:00:00,CAN,32.25
2006-01-01 00:00:00,CAN,32.58
2007-01-01 00:00:00,CAN,32.93
2008-01-01 00:00:00,CAN,33.32
2009-01-01 00:00:00,CAN,33.73
2010-01-01 00:00:00,CAN,34.13
2011-01-01 00:00:00,CAN,34.48
